,Name,ISO,Score,Status,Last Update,Source
190,Tonga,TN,1.0,Exercise Normal Precautions,2019-11-07,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/tonga-travel-advisory.html
191,Trinidad and Tobago,TD,2.0,Exercise Increased Caution,2019-04-09,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/trinidad-and-tobago-travel-advisory.html
192,Tunisia,TS,2.0,Exercise Increased Caution,2019-01-02,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/tunisia-travel-advisory.html
193,Turkey,TU,2.0,Exercise Increased Caution,2019-09-05,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/turkey-travel-advisory.html
194,Turkmenistan,TX,3.0,Reconsider Travel,2020-03-06,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/turkmenistan-travel-advisory.html
195,Turks and Caicos Islands,TK,2.0,Exercise Increased Caution,2019-02-25,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/turks-and-caicos-travel-advisory.html
196,Tuvalu,TV,1.0,Exercise Normal Precautions,2020-03-03,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/tuvalu-travel-advisory.html
197,Uganda,UG,2.0,Exercise Increased Caution,2019-04-09,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/uganda-travel-advisory.html
198,Ukraine,UP,2.0,Exercise Increased Caution,2020-02-19,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/ukraine-travel-advisory.html
199,United Arab Emirates,AE,1.0,Exercise Normal Precautions,2019-05-17,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/united-arab-emirates-travel-advisory.html
200,United Kingdom,UK,2.0,Exercise Increased Caution,2019-04-22,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/united-kingdom-travel-advisory.html
201,Uruguay,UY,2.0,Exercise Increased Caution,2019-08-02,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/uruguay-travel-advisory.html
202,Uzbekistan,UZ,1.0,Exercise Normal Precautions,2018-12-13,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/uzbekistan-travel-advisory.html
203,Vanuatu,NH,1.0,Exercise Normal Precautions,2019-03-21,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/vanuatu-travel-advisory.html
204,Venezuela,VE,4.0,Do Not Travel,2019-12-02,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/venezuela-travel-advisory.html
205,Vietnam,VM,1.0,Exercise Normal Precautions,2019-01-02,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/vietnam-travel-advisory.html
206,Yemen,YM,4.0,Do Not Travel,2019-11-26,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/yemen-travel-advisory.html
207,Zambia,ZA,1.0,Exercise Normal Precautions,2019-12-27,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/zambia-travel-advisory.html
208,Zimbabwe,ZI,2.0,Exercise Increased Caution,2019-05-14,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/zimbabwe-travel-advisory.html
