,Name,ISO,Score,Status,Last Update,Source
57,Ecuador,EC,2.0,Exercise Increased Caution,2019-11-07,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/ecuador-travel-advisory.html
58,Egypt,EG,2.0,Exercise Increased Caution,2020-03-06,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/egypt-travel-advisory.html
59,El Salvador,ES,2.0,Exercise Increased Caution,2019-10-01,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/el-salvador-travel-advisory.html
60,Equatorial Guinea,EK,1.0,Exercise Normal Precautions,2019-12-11,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/equatorial-guinea-travel-advisory.html
61,Eritrea,ER,2.0,Exercise Increased Caution,2019-02-25,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/eritrea-travel-advisory.html
62,Estonia,EN,1.0,Exercise Normal Precautions,2019-08-02,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/estonia-travel-advisory.html
63,Eswatini,WZ,1.0,Exercise Normal Precautions,2019-12-27,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/eswatini-travel-advisory.html
64,Ethiopia,ET,2.0,Exercise Increased Caution,2019-08-20,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/ethiopia-travel-advisory.html
65,Fiji,FJ,1.0,Exercise Normal Precautions,2019-12-16,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/fiji-travel-advisory.html
66,Finland,FI,1.0,Exercise Normal Precautions,2019-09-27,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/finland-travel-advisory.html
67,France,FR,2.0,Exercise Increased Caution,2019-04-01,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/france-travel-advisory.html
68,French Guiana,A2,1.0,Exercise Normal Precautions,2019-11-19,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/french-guiana-travel-advisory.html
69,French Polynesia,FP,1.0,Exercise Normal Precautions,2019-03-25,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/french-polynesia-travel-advisory.html
70,French West Indies,A3,1.0,Exercise Normal Precautions,2019-02-25,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/french-west-indies-travel-advisory.html
71,Gabon,GB,1.0,Exercise Normal Precautions,2019-01-10,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/gabon-travel-advisory.html
72,Georgia,GG,1.0,Exercise Normal Precautions,2019-04-09,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/georgia-travel-advisory.html
73,Germany,GM,2.0,Exercise Increased Caution,2019-06-19,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/germany-travel-advisory.html
74,Ghana,GH,1.0,Exercise Normal Precautions,2019-07-17,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/ghana-travel-advisory.html
75,Greece,GR,1.0,Exercise Normal Precautions,2019-07-05,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/greece-travel-advisory.html
76,Grenada,GJ,1.0,Exercise Normal Precautions,2019-02-25,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/grenada-travel-advisory.html
77,Guatemala,GT,2.0,Exercise Increased Caution,2019-02-28,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/guatemala-travel-advisory.html
78,Guinea,GV,2.0,Exercise Increased Caution,2020-02-13,http://travel.state.gov/content/travel/en/traveladvisories/traveladvisories/guinea-travel-advisory.html
